num_proc, num_proc_row, num_proc_col, block_size, mat_A_rows, mat_A_cols, mat_B_rows, mat_B_cols, gflops, elapsed_time, max_diff, max_rel_diff
1, 1, 1, 32, 32, 32, 32, 32, 0.097280, 0.673686, 0.000000, 0.000000e+00
1, 1, 1, 32, 32, 64, 64, 32, 0.067228, 1.949667, 0.000000, 0.000000e+00
1, 1, 1, 32, 32, 128, 128, 32, 0.375929, 0.697323, 0.000000, 0.000000e+00
1, 1, 1, 32, 32, 156, 156, 32, 0.377970, 0.845274, 0.000000, 0.000000e+00
1, 1, 1, 32, 64, 64, 64, 64, 0.611107, 0.857931, 0.000000, 0.000000e+00
1, 1, 1, 32, 64, 32, 32, 64, 0.349703, 0.749620, 0.000000, 0.000000e+00
1, 1, 1, 32, 64, 128, 128, 64, 1.035772, 1.012362, 0.000000, 0.000000e+00
1, 1, 1, 32, 64, 156, 156, 64, 0.999107, 1.279094, 0.000000, 0.000000e+00
1, 1, 1, 32, 128, 128, 128, 128, 1.580202, 2.654283, 0.000000, 0.000000e+00
1, 1, 1, 32, 128, 32, 32, 128, 0.819782, 1.279091, 0.000000, 0.000000e+00
1, 1, 1, 32, 128, 64, 64, 128, 0.821205, 2.553751, 0.000000, 0.000000e+00
1, 1, 1, 32, 128, 156, 156, 128, 1.768292, 2.890817, 0.000000, 0.000000e+00
1, 1, 1, 32, 256, 256, 256, 256, 2.067951, 16.225930, 0.000000, 0.000000e+00
1, 1, 1, 32, 256, 32, 32, 256, 1.219295, 3.439942, 0.000000, 0.000000e+00
1, 1, 1, 32, 256, 64, 64, 256, 1.788463, 4.690400, 0.000000, 0.000000e+00
1, 1, 1, 32, 256, 128, 128, 256, 1.738932, 9.648001, 0.000000, 0.000000e+00
1, 1, 1, 32, 256, 156, 156, 256, 1.898434, 10.770578, 0.000000, 0.000000e+00
1, 1, 1, 32, 400, 400, 400, 400, 2.159172, 59.281987, 0.000000, 0.000000e+00
1, 1, 1, 32, 400, 32, 32, 400, 1.705902, 6.002691, 0.000000, 0.000000e+00
1, 1, 1, 32, 400, 64, 64, 400, 1.977902, 10.354404, 0.000000, 0.000000e+00
1, 1, 1, 32, 400, 128, 128, 400, 2.134161, 19.192553, 0.000000, 0.000000e+00
1, 1, 1, 32, 400, 156, 156, 400, 2.210231, 22.585878, 0.000000, 0.000000e+00
1, 1, 1, 32, 512, 512, 512, 512, 1.408504, 190.581980, 0.000000, 0.000000e+00
1, 1, 1, 32, 512, 32, 32, 512, 1.601987, 10.472753, 0.000000, 0.000000e+00
1, 1, 1, 32, 512, 64, 64, 512, 1.783873, 18.809873, 0.000000, 0.000000e+00
1, 1, 1, 32, 512, 128, 128, 512, 1.921212, 34.930492, 0.000000, 0.000000e+00
1, 1, 1, 32, 512, 156, 156, 512, 1.884326, 43.404883, 0.000000, 0.000000e+00
1, 1, 1, 32, 800, 800, 800, 800, 2.101418, 487.289927, 0.000000, 0.000000e+00
1, 1, 1, 32, 800, 32, 32, 800, 1.789289, 22.891769, 0.000000, 0.000000e+00
